Wavelength,I(0),I(NaCl),I(KCl)
188.637,-4.0278,-4.6241,
189.1073,-4.0278,-4.6241,-3.1815
189.5776,-4.0278,-4.6241,-3.1815
190.0478,-2.2278,-0.2574,-3.1815
190.518,-5.3944,-2.9907,0.5519
190.9882,3.6056,1.6759,-7.5148
191.4584,5.9056,1.8426,6.7185
191.9285,-2.2944,1.3759,1.7519
192.3986,-0.4278,3.1093,1.8519
192.8687,2.1722,1.8426,-1.9815
193.3388,2.9389,0.9093,1.4852
193.8088,-2.1278,0.4759,6.4185
194.2788,4.1722,0.0426,-3.0815
194.7488,-0.1278,1.2093,-2.6815
195.2188,-0.9278,-1.9907,2.3519
195.6888,2.2389,1.2093,5.2519
196.1587,-0.2944,0.3426,-2.5815
196.6286,4.8722,5.0759,1.3185
197.0985,3.2389,2.8759,-0.3148
197.5684,-0.6611,6.1426,1.8852
198.0382,-0.1611,3.4426,-1.2148
198.508,7.4389,4.3093,-0.0815
198.9778,1.4389,5.1093,2.2852
199.4476,1.7056,0.9426,2.2185
199.9173,7.0056,1.6093,2.1519
200.387,3.0389,4.4093,3.4185
200.8567,6.6056,7.5426,5.1852
201.3264,7.2056,-0.6241,0.8519
201.7961,10.1389,7.2093,5.3852
202.2657,0.8722,8.9759,6.6852
202.7353,6.2389,5.1759,1.4852
203.2049,4.0722,9.0426,3.4185
203.6745,5.1056,1.1759,1.2852
204.144,7.8722,1.4093,5.0519
204.6135,4.1056,6.0426,1.3852
205.083,5.5389,3.4093,1.5185
205.5525,2.8722,4.2093,0.4519
206.0219,8.6389,8.3093,-1.2481
206.4914,2.1056,3.9759,7.4185
206.9608,8.6056,5.8759,5.8185
207.4301,1.5389,0.7426,5.3519
207.8995,5.0389,3.9426,-4.2148
208.3688,9.7722,2.2426,8.4852
208.8381,7.6056,8.1093,1.9185
209.3074,2.9389,3.6759,4.4185
209.7767,4.1056,0.0093,0.6185
210.2459,5.0056,4.5759,0.3185
210.7151,0.3389,-1.1574,4.9519
211.1843,3.6722,3.6759,-4.5815
211.6535,7.8056,0.5759,1.7519
212.1226,4.0389,0.8093,1.5852
212.5917,4.7389,-0.6907,6.2185
213.0608,5.2056,3.8759,-1.5815
213.5299,2.9389,2.8426,4.7185
213.999,1.1056,1.8093,2.2519
214.468,4.0722,3.5426,-4.5815
214.937,1.6389,0.3426,3.6185
215.406,-0.0611,-1.5907,0.9185
215.875,4.0056,0.2093,2.0852
216.3439,7.4722,-2.6574,-1.4148
216.8128,7.0056,3.3759,8.0852
217.2817,5.7722,-0.9907,2.6185
217.7506,4.8389,1.6426,0.2852
218.2194,3.4722,6.1426,0.1852
218.6882,7.5389,3.7759,-1.8148
219.157,0.9389,2.7426,2.5185
219.6258,-0.2944,-0.7241,-2.2481
220.0946,4.9722,3.2426,8.7185
220.5633,2.7056,2.2426,0.0519
221.032,-0.4278,-0.4907,1.6852
221.5007,3.0389,6.5093,-3.0815
221.9693,8.5722,-2.3907,3.7185
222.438,1.0722,0.1759,0.3185
222.9066,6.8056,3.7759,-5.9481
223.3752,6.9722,3.7426,5.2852
223.8438,4.6389,0.8426,1.6185
224.3123,0.9389,2.3426,2.5519
224.7808,3.0722,5.2426,-0.8148
225.2493,3.4722,4.3426,5.9519
225.7178,4.1389,2.3426,3.0852
226.1862,6.6722,3.8093,-2.4148
226.6547,4.5722,8.4426,2.9185
227.1231,6.7056,2.9426,3.1852
227.5915,3.2722,2.8759,5.6185
228.0598,6.8389,1.0426,-2.9481
228.5281,8.0389,3.8426,6.0519
228.9965,0.9056,5.0759,2.6185
229.4648,0.9389,1.6426,-0.4815
229.933,2.8389,1.2759,2.4519
230.4013,3.7056,2.9093,2.0519
230.8695,52.2389,10.0759,3.8519
231.3377,12.5056,2.6426,44.2519
231.8058,4.7389,2.2426,8.3185
232.274,3.3056,1.9759,2.1519
232.7421,5.1389,6.1093,3.7519
233.2102,4.1722,3.8426,-1.7481
233.6783,3.8722,1.4426,2.5852
234.1464,1.9389,7.5426,7.0185
234.6144,5.7722,0.7759,-0.6148
235.0824,6.3056,4.6426,1.4852
235.5504,3.7722,-0.3907,5.0519
236.0184,0.6389,-1.0574,4.2185
236.4863,7.6722,1.4426,-3.0481
236.9542,6.1722,1.4759,4.5185
237.4221,2.1389,2.5759,0.8519
237.89,3.4389,2.4093,-2.0481
238.3578,4.6056,1.7093,-0.6815
238.8257,5.2056,3.7426,5.6519
239.2935,4.1722,1.3759,4.4185
239.7612,3.7722,-3.6907,-1.0148
240.229,7.1722,3.2093,2.5519
240.6967,2.8389,1.7093,-0.2815
241.1644,4.8389,5.3426,1.8185
241.6321,6.7389,5.9426,-4.3815
242.0998,5.9722,5.9426,2.5185
242.5674,2.1389,2.6759,1.0185
243.0351,4.8389,2.7426,-1.5148
243.5026,5.8389,1.0426,1.6519
243.9702,4.8389,5.5093,5.5519
244.4378,3.9389,-0.0574,3.0519
244.9053,1.6722,3.6426,-4.8481
245.3728,4.5056,6.9093,4.7185
245.8403,0.9722,-0.6574,2.6852
246.3077,8.5056,0.1759,1.7852
246.7751,8.1389,3.3759,1.4519
247.2426,5.7056,-0.7241,3.1185
247.7099,6.4722,2.8093,0.8852
248.1773,5.0389,3.1093,-1.5148
248.6446,7.1056,4.1426,2.4519
249.1119,4.1056,7.9093,7.1519
249.5792,5.4389,2.3759,0.4852
250.0465,5.7722,-2.1241,-2.1815
250.5138,5.8056,4.5093,-0.6481
250.981,5.6389,5.0426,-0.5481
251.4482,5.7056,-0.3907,0.8185
251.9153,8.7722,1.8759,8.5185
252.3825,2.3722,7.3759,1.9519
252.8496,2.7722,3.1093,0.6852
253.3167,6.4389,2.6426,0.0185
253.7838,7.0056,5.6426,7.8519
254.2509,3.8389,1.5093,7.1185
254.7179,8.1722,2.1426,-3.7481
255.1849,9.5722,3.7759,2.4185
255.6519,4.1722,2.2759,4.2519
256.1189,8.5389,3.3426,3.3185
