Wavelength,I(0),I(KBr),I(KI)
188.637,-5.13,-1.3178,-8.0733
189.1073,-5.13,-1.3178,-8.0733
189.5776,-5.13,-1.3178,-8.0733
190.0478,-5.29,-0.5578,-3.2933
190.518,-5.73,-5.9978,-2.0333
190.9882,1.05,-4.5578,4.1467
191.4584,2.53,-0.0378,2.7067
191.9285,3.81,3.7622,2.8867
192.3986,0.63,-2.0578,4.2067
192.8687,0.75,1.3422,-5.4933
193.3388,6.53,7.6422,3.7467
193.8088,1.33,1.5222,4.3267
194.2788,-1.43,-5.4378,1.9267
194.7488,1.11,0.4822,-1.4733
195.2188,6.05,5.7822,5.2867
195.6888,1.33,-1.8378,5.4667
196.1587,-1.47,-4.9978,-2.5133
196.6286,4.19,8.9022,4.3267
197.0985,1.59,2.9622,8.9067
197.5684,3.05,0.6422,3.3867
198.0382,2.71,-0.4578,0.2067
198.508,7.77,7.1422,5.7467
198.9778,4.51,3.4822,5.7067
199.4476,2.57,-2.4378,3.3667
199.9173,4.11,5.8622,0.3267
200.387,8.75,2.1022,5.2067
200.8567,6.31,-0.2178,4.4067
201.3264,4.07,0.8822,-0.3733
201.7961,9.41,5.7422,5.4667
202.2657,9.93,3.7622,5.7667
202.7353,4.89,-0.9978,2.8667
203.2049,-0.19,3.6422,-0.2133
203.6745,9.99,4.7422,5.5467
204.144,3.45,-2.4378,5.5667
204.6135,6.87,-1.3578,1.2067
205.083,1.13,5.4822,2.1467
205.5525,8.03,2.6422,4.9467
206.0219,11.07,1.4022,8.9867
206.4914,4.79,2.1822,-2.4333
206.9608,7.01,4.8022,6.0067
207.4301,2.79,0.5422,2.7667
207.8995,6.83,-2.8978,2.1467
208.3688,2.69,-0.2778,-0.7533
208.8381,15.43,9.2222,11.2067
209.3074,5.47,1.8022,5.5667
209.7767,2.31,1.6222,-5.0133
210.2459,5.73,4.8222,-2.2333
210.7151,4.73,-0.0178,5.3067
211.1843,3.87,-2.1378,3.8467
211.6535,1.45,2.9222,0.6067
212.1226,10.33,4.2822,6.2067
212.5917,1.51,-0.3778,6.5267
213.0608,4.91,-0.0178,1.3867
213.5299,2.71,5.6222,4.2067
213.999,6.73,3.3222,2.4867
214.468,2.65,1.1422,6.2467
214.937,1.07,1.3022,1.3267
215.406,7.95,6.9622,1.6067
